[2023-07-04 10:16:09,058][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 10:16:09,059][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 10:16:09,059][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 10:16:09,060][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 10:16:09,060][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 10:16:09,061][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 10:16:09,061][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 10:16:09,062][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 10:16:09,062][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 10:16:23,869][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 10:16:28,296][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 10:19:52,700][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 10:20:21,295][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 10:20:21,296][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 10:20:21,297][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 10:20:21,297][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 10:20:21,298][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 10:20:21,298][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 10:20:21,299][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 10:20:21,300][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 10:20:21,301][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 10:20:21,302][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 10:20:21,302][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 10:20:21,303][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 10:20:21,304][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 10:21:51,842][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 10:21:56,413][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 10:24:56,552][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 10:25:21,059][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 10:25:21,060][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 10:25:21,061][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 10:25:21,061][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 10:25:21,062][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 10:25:21,063][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 10:25:21,063][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 10:25:21,064][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 10:25:21,065][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 10:25:21,066][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 10:25:21,066][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 10:25:21,068][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 10:25:21,068][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 10:27:05,076][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 10:27:06,182][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 10:27:10,157][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 10:27:23,396][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 10:27:23,397][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 10:27:23,397][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 10:27:23,398][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 10:27:23,398][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 10:27:23,399][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 10:27:23,400][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 10:27:23,400][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 10:27:23,401][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 10:27:23,402][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 10:27:23,402][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 10:27:23,403][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 10:27:23,404][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 10:31:03,694][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 10:31:08,263][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 10:34:37,779][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 10:35:03,442][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 10:35:03,442][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
